,cod_municipio,city_name_x,uf_name_x
1407,1625,CAMPO GRANDE,RN
1446,1703,BOA SAUDE,RN
1813,2437,IGUARACI,PE
1829,2469,LAGOA DO ITAENGA,PE
2097,3005,MUQUEM DE SAO FRANCISCO,BA
2169,3151,GRACCHO CARDOSO,SE
2528,3869,SANTA TERESINHA,BA
2618,4049,AMPARO DA SERRA,MG
2648,4109,BARAO DO MONTE ALTO,MG
2682,4177,BRASOPOLIS,MG
2822,4457,DONA EUZEBIA,MG
3245,5303,SAO TOME DAS LETRAS,MG
3594,6001,RIO DE JANEIRO,BR
3703,6231,BIRITIBA-MIRIM,SP
3944,6715,MOGI-GUACU,SP
4699,8251,BALNEARIO DE PICARRAS,SC
4783,8419,ENTRE IJUIS,RS
4996,8845,SANTANA DO LIVRAMENTO,RS
5143,9139,POXOREO,MT
5208,9269,BOM JESUS,GO
5234,9321,COUTO DE MAGALHAES,TO
5419,9691,SAO VALERIO DA NATIVIDADE,TO
5427,9707,EXTERIOR,EX
