uf_code,uf_name,mesoregion_code,mesoregion_name,microregion_code,microregion_name,city_code,city_complete_code,city_name
11,RO,2,Leste Rondoniense,6,Cacoal,15,1100015,ALTA FLORESTA D'OESTE
11,RO,2,Leste Rondoniense,6,Cacoal,379,1100379,ALTO ALEGRE DOS PARECIS
11,RO,2,Leste Rondoniense,3,Ariquemes,403,1100403,ALTO PARAÍSO
11,RO,2,Leste Rondoniense,5,Alvorada D'Oeste,346,1100346,ALVORADA D'OESTE
11,RO,2,Leste Rondoniense,3,Ariquemes,23,1100023,ARIQUEMES
11,RO,1,Madeira-Guaporé,1,Porto Velho,452,1100452,BURITIS
11,RO,2,Leste Rondoniense,8,Colorado do Oeste,31,1100031,CABIXI
11,RO,2,Leste Rondoniense,3,Ariquemes,601,1100601,CACAULÂNDIA
11,RO,2,Leste Rondoniense,6,Cacoal,49,1100049,CACOAL
11,RO,1,Madeira-Guaporé,1,Porto Velho,700,1100700,CAMPO NOVO DE RONDÔNIA
11,RO,1,Madeira-Guaporé,1,Porto Velho,809,1100809,CANDEIAS DO JAMARI
11,RO,2,Leste Rondoniense,6,Cacoal,908,1100908,CASTANHEIRAS
11,RO,2,Leste Rondoniense,8,Colorado do Oeste,56,1100056,CEREJEIRAS
11,RO,2,Leste Rondoniense,7,Vilhena,924,1100924,CHUPINGUAIA
11,RO,2,Leste Rondoniense,8,Colorado do Oeste,64,1100064,COLORADO DO OESTE
11,RO,2,Leste Rondoniense,8,Colorado do Oeste,72,1100072,CORUMBIARA
11,RO,1,Madeira-Guaporé,2,Guajará-Mirim,80,1100080,COSTA MARQUES
11,RO,1,Madeira-Guaporé,1,Porto Velho,940,1100940,CUJUBIM
11,RO,2,Leste Rondoniense,6,Cacoal,98,1100098,ESPIGÃO D'OESTE
11,RO,2,Leste Rondoniense,4,Ji-Paraná,1005,1101005,GOVERNADOR JORGE TEIXEIRA
11,RO,1,Madeira-Guaporé,2,Guajará-Mirim,106,1100106,GUAJARÁ-MIRIM
11,RO,1,Madeira-Guaporé,1,Porto Velho,1104,1101104,ITAPUÃ DO OESTE
11,RO,2,Leste Rondoniense,4,Ji-Paraná,114,1100114,JARU
11,RO,2,Leste Rondoniense,4,Ji-Paraná,122,1100122,JI-PARANÁ
11,RO,2,Leste Rondoniense,3,Ariquemes,130,1100130,MACHADINHO D'OESTE
11,RO,2,Leste Rondoniense,6,Cacoal,1203,1101203,MINISTRO ANDREAZZA
11,RO,2,Leste Rondoniense,4,Ji-Paraná,1302,1101302,MIRANTE DA SERRA
11,RO,2,Leste Rondoniense,3,Ariquemes,1401,1101401,MONTE NEGRO
11,RO,2,Leste Rondoniense,5,Alvorada D'Oeste,148,1100148,NOVA BRASILÂNDIA D'OESTE
11,RO,1,Madeira-Guaporé,1,Porto Velho,338,1100338,NOVA MAMORÉ
11,RO,2,Leste Rondoniense,4,Ji-Paraná,1435,1101435,NOVA UNIÃO
11,RO,2,Leste Rondoniense,6,Cacoal,502,1100502,NOVO HORIZONTE DO OESTE
11,RO,2,Leste Rondoniense,4,Ji-Paraná,155,1100155,OURO PRETO DO OESTE
11,RO,2,Leste Rondoniense,7,Vilhena,1450,1101450,PARECIS
