,cod_municipio,city_name,uf_name
0,0001,GUAJARA-MIRIM,RO
1,0002,ALTO ALEGRE DOS PARECIS,RO
2,0003,PORTO VELHO,RO
3,0004,BURITIS,RO
4,0005,JI-PARANA,RO
5,0006,CHUPINGUAIA,RO
6,0007,ARIQUEMES,RO
7,0008,CUJUBIM,RO
8,0009,CACOAL,RO
9,0010,NOVA UNIAO,RO
10,0011,PIMENTA BUENO,RO
11,0012,PARECIS,RO
12,0013,VILHENA,RO
13,0014,PIMENTEIRAS DO OESTE,RO
14,0015,JARU,RO
15,0016,PRIMAVERA DE RONDONIA,RO
16,0017,OURO PRETO DO OESTE,RO
17,0018,SAO FELIPE D'OESTE,RO
18,0019,PRESIDENTE MEDICI,RO
19,0020,SAO FRANCISCO DO GUAPORE,RO
20,0021,COSTA MARQUES,RO
21,0022,TEIXEIROPOLIS,RO
22,0023,COLORADO DO OESTE,RO
23,0024,VALE DO ANARI,RO
24,0025,ESPIGAO D'OESTE,RO
25,0026,AMAJARI,RR
26,0027,CEREJEIRAS,RO
27,0028,CANTA,RR
28,0029,ROLIM DE MOURA,RO
29,0030,CAROEBE,RR
30,0031,CALDAZINHA,GO
31,0032,IRACEMA,RR
32,0033,ALTA FLORESTA D'OESTE,RO
33,0034,PACARAIMA,RR
34,0035,ALVORADA D'OESTE,RO
35,0036,RORAINOPOLIS,RR
36,0037,CABIXI,RO
37,0038,UIRAMUTA,RR
38,0039,MACHADINHO D'OESTE,RO
39,0040,ANAPU,PA
40,0041,NOVA BRASILANDIA D'OESTE,RO
41,0042,BANNACH,PA
42,0043,SANTA LUZIA D'OESTE,RO
43,0044,BELTERRA,PA
44,0045,SAO MIGUEL DO GUAPORE,RO
45,0046,CACHOEIRA DO PIRIA,PA
46,0047,NOVA MAMORE,RO
47,0048,CANAA DOS CARAJAS,PA
48,0049,JESUPOLIS,GO
49,0050,CURUA,PA
50,0051,PROFESSOR JAMIL,GO
51,0052,FLORESTA DO ARAGUAIA,PA
52,0053,SANTO ANTONIO DE GOIAS,GO
53,0054,MARITUBA,PA
54,0055,COCALZINHO DE GOIAS,GO
55,0056,NOVA IPIXUNA,PA
56,0057,TEREZOPOLIS DE GOIAS,GO
57,0058,PICARRA,PA
58,0059,UIRAPURU,GO
59,0060,PLACAS,PA
60,0061,BURITINOPOLIS,GO
61,0062,QUATIPURU,PA
62,0063,BURITI DE GOIAS,GO
63,0064,SAO JOAO DA PONTA,PA
64,0065,GUARAITA,GO
65,0066,SAPUCAIA,PA
66,0067,VILA BOA,GO
67,0068,TRACUATEUA,PA
68,0069,INACIOLANDIA,GO
69,0070,VITORIA DO JARI,AP
70,0071,APARECIDA DO RIO DOCE,GO
71,0072,AGUIARNOPOLIS,TO
72,0073,CHAPADAO DO CEU,GO
73,0074,BANDEIRANTES DO TOCANTINS,TO
74,0075,PEROLANDIA,GO
75,0076,BARRA DO OURO,TO
76,0077,CIDADE OCIDENTAL,GO
77,0078,CHAPADA DE AREIA,TO
78,0079,MONTIVIDIU DO NORTE,GO
79,0080,CHAPADA DA NATIVIDADE,TO
80,0081,CASTELANDIA,GO
81,0082,CRIXAS DO TOCANTINS,TO
82,0083,SANTO ANTONIO DA BARRA,GO
83,0084,IPUEIRAS,TO
84,0085,ALTO HORIZONTE,GO
85,0086,LAVANDEIRA,TO
86,0087,NOVA IGUACU DE GOIAS,GO
87,0088,LUZINOPOLIS,TO
88,0089,COTRIGUACU,MT
89,0090,MONTE SANTO DO TOCANTINS,TO
90,0091,PLANALTO DA SERRA,MT
91,0092,OLIVEIRA DE FATIMA,TO
92,0093,SAO PEDRO DA CIPA,MT
93,0094,PUGMIL,TO
94,0095,PONTAL DO ARAGUAIA,MT
95,0096,SANTA RITA DO TOCANTINS,TO
96,0097,QUERENCIA,MT
97,0098,SANTA TEREZINHA DO TOCANTINS,TO
98,0099,RIBEIRAOZINHO,MT
99,0100,TALISMA,TO
100,0101,PORTO ESTRELA,MT
101,0102,TUPIRAMA,TO
102,0103,NOVA MARILANDIA,MT
103,0104,AGUA DOCE DO MARANHAO,MA
104,0105,BRASILEIA,AC
105,0106,ALTO ALEGRE DO MARANHAO,MA
106,0107,CRUZEIRO DO SUL,AC
107,0108,ALTO ALEGRE DO PINDARE,MA
108,0109,MANCIO LIMA,AC
109,0110,AMAPA DO MARANHAO,MA
110,0111,NOVA MARINGA,MT
111,0112,APICUM-ACU,MA
112,0113,FEIJO,AC
113,0114,ARAGUANA,MA
114,0115,SANTO AFONSO,MT
115,0116,BACABEIRA,MA
116,0117,NOVA BANDEIRANTES,MT
117,0118,BACURITUBA,MA
118,0119,NOVA MONTE VERDE,MT
119,0120,BELAGUA,MA
120,0121,NOVA GUARITA,MT
121,0122,BELA VISTA DO MARANHAO,MA
122,0123,SANTA CARMEM,MT
123,0124,BERNARDO DO MEARIM,MA
124,0125,TABAPORA,MT
125,0126,BOA VISTA DO GURUPI,MA
126,0127,ALTO BOA VISTA,MT
127,0128,BOM JESUS DAS SELVAS,MA
128,0129,CANABRAVA DO NORTE,MT
129,0130,BOM LUGAR,MA
130,0131,CONFRESA,MT
131,0132,BREJO DE AREIA,MA
132,0133,SAO JOSE DO XINGU,MT
133,0134,BURITICUPU,MA
134,0135,GLORIA D'OESTE,MT
135,0136,BURITIRANA,MA
136,0137,LAMBARI D'OESTE,MT
137,0138,CACHOEIRA GRANDE,MA
138,0139,RIO BRANCO,AC
139,0140,CAMPESTRE DO MARANHAO,MA
140,0141,ALCINOPOLIS,MS
141,0142,CAPINZAL DO NORTE,MA
142,0143,NOVA ALVORADA DO SUL,MS
143,0144,CENTRAL DO MARANHAO,MA
144,0145,SENA MADUREIRA,AC
145,0146,CENTRO DO GUILHERME,MA
146,0147,TARAUACA,AC
147,0148,CENTRO NOVO DO MARANHAO,MA
148,0149,XAPURI,AC
149,0150,CIDELANDIA,MA
150,0151,PLACIDO DE CASTRO,AC
151,0152,CONCEICAO DO LAGO-ACU,MA
152,0153,SENADOR GUIOMARD,AC
153,0154,DAVINOPOLIS,MA
154,0155,MANOEL URBANO,AC
155,0156,FEIRA NOVA DO MARANHAO,MA
156,0157,ASSIS BRASIL,AC
157,0158,FERNANDO FALCAO,MA
158,0159,NOVO HORIZONTE DO SUL,MS
159,0160,FORMOSA DA SERRA NEGRA,MA
160,0161,JAPORA,MS
161,0162,GOVERNADOR EDISON LOBAO,MA
162,0163,LAGUNA CARAPA,MS
163,0164,GOVERNADOR LUIZ ROCHA,MA
164,0165,ANGICO,TO
165,0166,GOVERNADOR NEWTON BELLO,MA
166,0167,ARAGOMINAS,TO
167,0168,GOVERNADOR NUNES FREIRE,MA
168,0169,ARAGUANA,TO
169,0170,IGARAPE DO MEIO,MA
170,0171,CACHOEIRINHA,TO
171,0172,ITAIPAVA DO GRAJAU,MA
172,0173,CAMPOS LINDOS,TO
173,0174,ITINGA DO MARANHAO,MA
174,0175,CARMOLANDIA,TO
175,0176,JATOBA,MA
