,cod_municipio,city_name_x,uf_name_x,uf_code,uf_name_y,mesoregion_code,mesoregion_name,microregion_code,microregion_name,city_code,city_complete_code,city_name_y
0,0001,GUAJARA-MIRIM,RO,11.0,RO,1.0,Madeira-Guaporé,2.0,Guajará-Mirim,106.0,1100106.0,GUAJARA-MIRIM
1,0002,ALTO ALEGRE DOS PARECIS,RO,11.0,RO,2.0,Leste Rondoniense,6.0,Cacoal,379.0,1100379.0,ALTO ALEGRE DOS PARECIS
2,0003,PORTO VELHO,RO,11.0,RO,1.0,Madeira-Guaporé,1.0,Porto Velho,205.0,1100205.0,PORTO VELHO
3,0004,BURITIS,RO,11.0,RO,1.0,Madeira-Guaporé,1.0,Porto Velho,452.0,1100452.0,BURITIS
4,0005,JI-PARANA,RO,11.0,RO,2.0,Leste Rondoniense,4.0,Ji-Paraná,122.0,1100122.0,JI-PARANA
5,0006,CHUPINGUAIA,RO,11.0,RO,2.0,Leste Rondoniense,7.0,Vilhena,924.0,1100924.0,CHUPINGUAIA
6,0007,ARIQUEMES,RO,11.0,RO,2.0,Leste Rondoniense,3.0,Ariquemes,23.0,1100023.0,ARIQUEMES
7,0008,CUJUBIM,RO,11.0,RO,1.0,Madeira-Guaporé,1.0,Porto Velho,940.0,1100940.0,CUJUBIM
8,0009,CACOAL,RO,11.0,RO,2.0,Leste Rondoniense,6.0,Cacoal,49.0,1100049.0,CACOAL
9,0010,NOVA UNIAO,RO,11.0,RO,2.0,Leste Rondoniense,4.0,Ji-Paraná,1435.0,1101435.0,NOVA UNIAO
10,0011,PIMENTA BUENO,RO,11.0,RO,2.0,Leste Rondoniense,7.0,Vilhena,189.0,1100189.0,PIMENTA BUENO
11,0012,PARECIS,RO,11.0,RO,2.0,Leste Rondoniense,7.0,Vilhena,1450.0,1101450.0,PARECIS
12,0013,VILHENA,RO,11.0,RO,2.0,Leste Rondoniense,7.0,Vilhena,304.0,1100304.0,VILHENA
13,0014,PIMENTEIRAS DO OESTE,RO,11.0,RO,2.0,Leste Rondoniense,8.0,Colorado do Oeste,1468.0,1101468.0,PIMENTEIRAS DO OESTE
14,0015,JARU,RO,11.0,RO,2.0,Leste Rondoniense,4.0,Ji-Paraná,114.0,1100114.0,JARU
15,0016,PRIMAVERA DE RONDONIA,RO,11.0,RO,2.0,Leste Rondoniense,7.0,Vilhena,1476.0,1101476.0,PRIMAVERA DE RONDONIA
16,0017,OURO PRETO DO OESTE,RO,11.0,RO,2.0,Leste Rondoniense,4.0,Ji-Paraná,155.0,1100155.0,OURO PRETO DO OESTE
17,0018,SAO FELIPE D'OESTE,RO,11.0,RO,2.0,Leste Rondoniense,7.0,Vilhena,1484.0,1101484.0,SAO FELIPE D'OESTE
18,0019,PRESIDENTE MEDICI,RO,11.0,RO,2.0,Leste Rondoniense,4.0,Ji-Paraná,254.0,1100254.0,PRESIDENTE MEDICI
19,0020,SAO FRANCISCO DO GUAPORE,RO,11.0,RO,1.0,Madeira-Guaporé,2.0,Guajará-Mirim,1492.0,1101492.0,SAO FRANCISCO DO GUAPORE
20,0021,COSTA MARQUES,RO,11.0,RO,1.0,Madeira-Guaporé,2.0,Guajará-Mirim,80.0,1100080.0,COSTA MARQUES
21,0022,TEIXEIROPOLIS,RO,11.0,RO,2.0,Leste Rondoniense,4.0,Ji-Paraná,1559.0,1101559.0,TEIXEIROPOLIS
22,0023,COLORADO DO OESTE,RO,11.0,RO,2.0,Leste Rondoniense,8.0,Colorado do Oeste,64.0,1100064.0,COLORADO DO OESTE
23,0024,VALE DO ANARI,RO,11.0,RO,2.0,Leste Rondoniense,3.0,Ariquemes,1757.0,1101757.0,VALE DO ANARI
24,0025,ESPIGAO D'OESTE,RO,11.0,RO,2.0,Leste Rondoniense,6.0,Cacoal,98.0,1100098.0,ESPIGAO D'OESTE
25,0026,AMAJARI,RR,14.0,RR,1.0,Norte de Roraima,1.0,Boa Vista,27.0,1400027.0,AMAJARI
26,0027,CEREJEIRAS,RO,11.0,RO,2.0,Leste Rondoniense,8.0,Colorado do Oeste,56.0,1100056.0,CEREJEIRAS
27,0028,CANTA,RR,14.0,RR,1.0,Norte de Roraima,2.0,Nordeste de Roraima,175.0,1400175.0,CANTA
28,0029,ROLIM DE MOURA,RO,11.0,RO,2.0,Leste Rondoniense,6.0,Cacoal,288.0,1100288.0,ROLIM DE MOURA
29,0030,CAROEBE,RR,14.0,RR,2.0,Sul de Roraima,4.0,Sudeste de Roraima,233.0,1400233.0,CAROEBE
30,0031,CALDAZINHA,GO,52.0,GO,3.0,Centro Goiano,10.0,Goiânia,4557.0,5204557.0,CALDAZINHA
31,0032,IRACEMA,RR,14.0,RR,2.0,Sul de Roraima,3.0,Caracaraí,282.0,1400282.0,IRACEMA
32,0033,ALTA FLORESTA D'OESTE,RO,11.0,RO,2.0,Leste Rondoniense,6.0,Cacoal,15.0,1100015.0,ALTA FLORESTA D'OESTE
33,0034,PACARAIMA,RR,14.0,RR,1.0,Norte de Roraima,1.0,Boa Vista,456.0,1400456.0,PACARAIMA
34,0035,ALVORADA D'OESTE,RO,11.0,RO,2.0,Leste Rondoniense,5.0,Alvorada D'Oeste,346.0,1100346.0,ALVORADA D'OESTE
35,0036,RORAINOPOLIS,RR,14.0,RR,2.0,Sul de Roraima,4.0,Sudeste de Roraima,472.0,1400472.0,RORAINOPOLIS
36,0037,CABIXI,RO,11.0,RO,2.0,Leste Rondoniense,8.0,Colorado do Oeste,31.0,1100031.0,CABIXI
37,0038,UIRAMUTA,RR,14.0,RR,1.0,Norte de Roraima,2.0,Nordeste de Roraima,704.0,1400704.0,UIRAMUTA
38,0039,MACHADINHO D'OESTE,RO,11.0,RO,2.0,Leste Rondoniense,3.0,Ariquemes,130.0,1100130.0,MACHADINHO D'OESTE
39,0040,ANAPU,PA,15.0,PA,5.0,Sudoeste Paraense,15.0,Altamira,859.0,1500859.0,ANAPU
40,0041,NOVA BRASILANDIA D'OESTE,RO,11.0,RO,2.0,Leste Rondoniense,5.0,Alvorada D'Oeste,148.0,1100148.0,NOVA BRASILANDIA D'OESTE
41,0042,BANNACH,PA,15.0,PA,6.0,Sudeste Paraense,18.0,São Félix do Xingu,1253.0,1501253.0,BANNACH
42,0043,SANTA LUZIA D'OESTE,RO,11.0,RO,2.0,Leste Rondoniense,6.0,Cacoal,296.0,1100296.0,SANTA LUZIA D'OESTE
43,0044,BELTERRA,PA,15.0,PA,1.0,Baixo Amazonas,2.0,Santarém,1451.0,1501451.0,BELTERRA
44,0045,SAO MIGUEL DO GUAPORE,RO,11.0,RO,2.0,Leste Rondoniense,5.0,Alvorada D'Oeste,320.0,1100320.0,SAO MIGUEL DO GUAPORE
45,0046,CACHOEIRA DO PIRIA,PA,15.0,PA,4.0,Nordeste Paraense,13.0,Guamá,1956.0,1501956.0,CACHOEIRA DO PIRIA
46,0047,NOVA MAMORE,RO,11.0,RO,1.0,Madeira-Guaporé,1.0,Porto Velho,338.0,1100338.0,NOVA MAMORE
47,0048,CANAA DOS CARAJAS,PA,15.0,PA,6.0,Sudeste Paraense,19.0,Parauapebas,2152.0,1502152.0,CANAA DOS CARAJAS
48,0049,JESUPOLIS,GO,52.0,GO,3.0,Centro Goiano,7.0,Anápolis,12055.0,5212055.0,JESUPOLIS
49,0050,CURUA,PA,15.0,PA,1.0,Baixo Amazonas,2.0,Santarém,2855.0,1502855.0,CURUA
50,0051,PROFESSOR JAMIL,GO,52.0,GO,5.0,Sul Goiano,15.0,Meia Ponte,18391.0,5218391.0,PROFESSOR JAMIL
51,0052,FLORESTA DO ARAGUAIA,PA,15.0,PA,6.0,Sudeste Paraense,22.0,Conceição do Araguaia,3044.0,1503044.0,FLORESTA DO ARAGUAIA
52,0053,SANTO ANTONIO DE GOIAS,GO,52.0,GO,3.0,Centro Goiano,10.0,Goiânia,19738.0,5219738.0,SANTO ANTONIO DE GOIAS
53,0054,MARITUBA,PA,15.0,PA,3.0,Metropolitana de Belém,7.0,Belém,4422.0,1504422.0,MARITUBA
54,0055,COCALZINHO DE GOIAS,GO,52.0,GO,4.0,Leste Goiano,12.0,Entorno de Brasília,5513.0,5205513.0,COCALZINHO DE GOIAS
55,0056,NOVA IPIXUNA,PA,15.0,PA,6.0,Sudeste Paraense,16.0,Tucuruí,4976.0,1504976.0,NOVA IPIXUNA
56,0057,TEREZOPOLIS DE GOIAS,GO,52.0,GO,3.0,Centro Goiano,10.0,Goiânia,21197.0,5221197.0,TEREZOPOLIS DE GOIAS
57,0058,PICARRA,PA,15.0,PA,6.0,Sudeste Paraense,21.0,Redenção,5635.0,1505635.0,PICARRA
58,0059,UIRAPURU,GO,52.0,GO,1.0,Noroeste Goiano,1.0,São Miguel do Araguaia,21577.0,5221577.0,UIRAPURU
59,0060,PLACAS,PA,15.0,PA,1.0,Baixo Amazonas,2.0,Santarém,5650.0,1505650.0,PLACAS
60,0061,BURITINOPOLIS,GO,52.0,GO,4.0,Leste Goiano,11.0,Vão do Paranã,3962.0,5203962.0,BURITINOPOLIS
61,0062,QUATIPURU,PA,15.0,PA,4.0,Nordeste Paraense,10.0,Bragantina,6112.0,1506112.0,QUATIPURU
62,0063,BURITI DE GOIAS,GO,52.0,GO,3.0,Centro Goiano,9.0,Anicuns,3939.0,5203939.0,BURITI DE GOIAS
63,0064,SAO JOAO DA PONTA,PA,15.0,PA,4.0,Nordeste Paraense,9.0,Salgado,7466.0,1507466.0,SAO JOAO DA PONTA
64,0065,GUARAITA,GO,52.0,GO,3.0,Centro Goiano,6.0,Ceres,9291.0,5209291.0,GUARAITA
65,0066,SAPUCAIA,PA,15.0,PA,6.0,Sudeste Paraense,21.0,Redenção,7755.0,1507755.0,SAPUCAIA
66,0067,VILA BOA,GO,52.0,GO,4.0,Leste Goiano,12.0,Entorno de Brasília,22203.0,5222203.0,VILA BOA
67,0068,TRACUATEUA,PA,15.0,PA,4.0,Nordeste Paraense,10.0,Bragantina,8035.0,1508035.0,TRACUATEUA
68,0069,INACIOLANDIA,GO,52.0,GO,5.0,Sul Goiano,15.0,Meia Ponte,9937.0,5209937.0,INACIOLANDIA
69,0070,VITORIA DO JARI,AP,16.0,AP,2.0,Sul do Amapá,4.0,Mazagão,808.0,1600808.0,VITORIA DO JARI
70,0071,APARECIDA DO RIO DOCE,GO,52.0,GO,5.0,Sul Goiano,13.0,Sudoeste de Goiás,1454.0,5201454.0,APARECIDA DO RIO DOCE
71,0072,AGUIARNOPOLIS,TO,17.0,TO,1.0,Ocidental do Tocantins,1.0,Bico do Papagaio,301.0,1700301.0,AGUIARNOPOLIS
72,0073,CHAPADAO DO CEU,GO,52.0,GO,5.0,Sul Goiano,13.0,Sudoeste de Goiás,5471.0,5205471.0,CHAPADAO DO CEU
73,0074,BANDEIRANTES DO TOCANTINS,TO,17.0,TO,1.0,Ocidental do Tocantins,2.0,Araguaína,3057.0,1703057.0,BANDEIRANTES DO TOCANTINS
74,0075,PEROLANDIA,GO,52.0,GO,5.0,Sul Goiano,13.0,Sudoeste de Goiás,16452.0,5216452.0,PEROLANDIA
75,0076,BARRA DO OURO,TO,17.0,TO,2.0,Oriental do Tocantins,7.0,Jalapão,3073.0,1703073.0,BARRA DO OURO
76,0077,CIDADE OCIDENTAL,GO,52.0,GO,4.0,Leste Goiano,12.0,Entorno de Brasília,5497.0,5205497.0,CIDADE OCIDENTAL
77,0078,CHAPADA DE AREIA,TO,17.0,TO,1.0,Ocidental do Tocantins,4.0,Rio Formoso,4600.0,1704600.0,CHAPADA DE AREIA
78,0079,MONTIVIDIU DO NORTE,GO,52.0,GO,2.0,Norte Goiano,4.0,Porangatu,13772.0,5213772.0,MONTIVIDIU DO NORTE
79,0080,CHAPADA DA NATIVIDADE,TO,17.0,TO,2.0,Oriental do Tocantins,8.0,Dianópolis,5102.0,1705102.0,CHAPADA DA NATIVIDADE
80,0081,CASTELANDIA,GO,52.0,GO,5.0,Sul Goiano,13.0,Sudoeste de Goiás,5059.0,5205059.0,CASTELANDIA
81,0082,CRIXAS DO TOCANTINS,TO,17.0,TO,1.0,Ocidental do Tocantins,5.0,Gurupi,6258.0,1706258.0,CRIXAS DO TOCANTINS
82,0083,SANTO ANTONIO DA BARRA,GO,52.0,GO,5.0,Sul Goiano,13.0,Sudoeste de Goiás,19712.0,5219712.0,SANTO ANTONIO DA BARRA
83,0084,IPUEIRAS,TO,17.0,TO,2.0,Oriental do Tocantins,6.0,Porto Nacional,9807.0,1709807.0,IPUEIRAS
84,0085,ALTO HORIZONTE,GO,52.0,GO,2.0,Norte Goiano,4.0,Porangatu,555.0,5200555.0,ALTO HORIZONTE
85,0086,LAVANDEIRA,TO,17.0,TO,2.0,Oriental do Tocantins,8.0,Dianópolis,12157.0,1712157.0,LAVANDEIRA
86,0087,NOVA IGUACU DE GOIAS,GO,52.0,GO,2.0,Norte Goiano,4.0,Porangatu,14879.0,5214879.0,NOVA IGUACU DE GOIAS
87,0088,LUZINOPOLIS,TO,17.0,TO,1.0,Ocidental do Tocantins,1.0,Bico do Papagaio,12454.0,1712454.0,LUZINOPOLIS
88,0089,COTRIGUACU,MT,51.0,MT,1.0,Norte Mato-grossense,1.0,Aripuanã,3379.0,5103379.0,COTRIGUACU
89,0090,MONTE SANTO DO TOCANTINS,TO,17.0,TO,1.0,Ocidental do Tocantins,3.0,Miracema do Tocantins,13700.0,1713700.0,MONTE SANTO DO TOCANTINS
90,0091,PLANALTO DA SERRA,MT,51.0,MT,1.0,Norte Mato-grossense,8.0,Paranatinga,6455.0,5106455.0,PLANALTO DA SERRA
91,0092,OLIVEIRA DE FATIMA,TO,17.0,TO,1.0,Ocidental do Tocantins,4.0,Rio Formoso,15507.0,1715507.0,OLIVEIRA DE FATIMA
92,0093,SAO PEDRO DA CIPA,MT,51.0,MT,5.0,Sudeste Mato-grossense,21.0,Rondonópolis,7404.0,5107404.0,SAO PEDRO DA CIPA
93,0094,PUGMIL,TO,17.0,TO,1.0,Ocidental do Tocantins,4.0,Rio Formoso,18451.0,1718451.0,PUGMIL
94,0095,PONTAL DO ARAGUAIA,MT,51.0,MT,5.0,Sudeste Mato-grossense,20.0,Tesouro,6653.0,5106653.0,PONTAL DO ARAGUAIA
95,0096,SANTA RITA DO TOCANTINS,TO,17.0,TO,1.0,Ocidental do Tocantins,5.0,Gurupi,18899.0,1718899.0,SANTA RITA DO TOCANTINS
96,0097,QUERENCIA,MT,51.0,MT,2.0,Nordeste Mato-grossense,10.0,Canarana,7065.0,5107065.0,QUERENCIA
97,0098,SANTA TEREZINHA DO TOCANTINS,TO,17.0,TO,1.0,Ocidental do Tocantins,1.0,Bico do Papagaio,20002.0,1720002.0,SANTA TEREZINHA DO TOCANTINS
98,0099,RIBEIRAOZINHO,MT,51.0,MT,5.0,Sudeste Mato-grossense,20.0,Tesouro,7198.0,5107198.0,RIBEIRAOZINHO
99,0100,TALISMA,TO,17.0,TO,1.0,Ocidental do Tocantins,5.0,Gurupi,20978.0,1720978.0,TALISMA
100,0101,PORTO ESTRELA,MT,51.0,MT,3.0,Sudoeste Mato-grossense,13.0,Tangará da Serra,6851.0,5106851.0,PORTO ESTRELA
101,0102,TUPIRAMA,TO,17.0,TO,1.0,Ocidental do Tocantins,3.0,Miracema do Tocantins,21257.0,1721257.0,TUPIRAMA
102,0103,NOVA MARILANDIA,MT,51.0,MT,4.0,Centro-Sul Mato-grossense,15.0,Alto Paraguai,8857.0,5108857.0,NOVA MARILANDIA
103,0104,AGUA DOCE DO MARANHAO,MA,21.0,MA,4.0,Leste Maranhense,13.0,Baixo Parnaíba Maranhense,154.0,2100154.0,AGUA DOCE DO MARANHAO
104,0105,BRASILEIA,AC,12.0,AC,2.0,Vale do Acre,5.0,Brasiléia,104.0,1200104.0,BRASILEIA
105,0106,ALTO ALEGRE DO MARANHAO,MA,21.0,MA,4.0,Leste Maranhense,15.0,Codó,436.0,2100436.0,ALTO ALEGRE DO MARANHAO
106,0107,CRUZEIRO DO SUL,AC,12.0,AC,1.0,Vale do Juruá,1.0,Cruzeiro do Sul,203.0,1200203.0,CRUZEIRO DO SUL
107,0108,ALTO ALEGRE DO PINDARE,MA,21.0,MA,2.0,Oeste Maranhense,8.0,Pindaré,477.0,2100477.0,ALTO ALEGRE DO PINDARE
